#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
33,300008,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",20885,RTKH53 29E,3.6 / 283,Borden,ON
34,300009,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",4114,RTKH53 29E,3.6 / 283,Tronto,ON
35,300010,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",31353,RTKH53 29E,3.6 / 283,London,ON
36,300011,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",4462,RTKH53 29E,3.6 / 283,Ottawa,ON
37,300012,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",3693,RTKH53 29E,3.6 / 283,Burlington,ON
38,300016,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$13.20,"$3,079.34","$26,766.54",9230,RTKH53 29E,3.6 / 283,Ottawa,ON
39,300013,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$16.50,"$3,978.07","$34,578.57",20506,TNJ26,2.5 / 193,Ottawa,ON
40,300014,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$16.50,"$3,978.70","$34,579.20",14577,TNJ26,2.5 / 193,London,ON
41,300015,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$22.50,"$4,590.98","$35,197.48",30269,TNJ26,2.5 / 193,Milton,ON
42,300018,Dodge ,Grand Caravan,2008,Argent/Silver,Noir/Black,--,--,--,--,107699,--,--,Stoney Creek,ON
