sector,subsector_level1,subsector_level2,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FOSSIL FUEL INDUSTRY,Coal Production,NA,1.72401539253584,1.80104395570189,1.4734629758501,1.94912381317095,2.08818872080761,2.13243579226009,2.25517643959181,2.34734234304988,2.16245337542843,2.17035615217797,2.17402675853132,2.40800012557967,2.20244020434659,2.10565045110345,2.30067780360832,1.99300010339951,1.86618782603763,2.07137210586931,1.95512545383129,1.61018654077163,2.01072338393831,2.00169644929839,2.25438627849416,2.27154706382162,2.0804827291951,1.92124556156661,2.09613314575084,1.9237583130189,2.24543581971245,2.27518097092952,2.0207161765617,2.3449245560835
FOSSIL FUEL INDUSTRY,Upstream Oil and Gas,Natural Gas Production and Processing,4.37513897655471,3.6426479470258,3.17530032467228,3.05264625811809,4.84799798183726,6.47989820223243,7.22359159386348,6.22705024684341,7.44117606807928,8.57851087067067,7.87644480932974,9.2306362105844,9.25805470306316,9.48751022567863,9.96625700315769,10.1696834715683,11.1272171045437,11.4982776542963,12.2891106164825,11.8280517704451,11.9989599096629,12.3606907079412,11.8784627662284,11.8840487392661,11.8769945487968,11.4566185173385,11.0099271752324,11.1152286640604,11.1944047846613,10.5290957588569,10.8487413261801,9.96269694124839
FOSSIL FUEL INDUSTRY,Upstream Oil and Gas,Conventional Oil Production,0.564146156962363,0.389156755334048,0.381154005694807,0.439067537684508,0.677762629413045,0.844987498376523,1.14055796756059,1.11422873452775,1.07076494923887,0.99042265875611,0.889607618075453,0.92821644570413,0.8714477609956,0.839663736464146,0.82724608897043606,0.722539215655165,0.801815818149437,0.77366758503358,0.692435581985311,0.687974713002719,0.625966730789505,0.659294126240172,0.613564597584178,0.61213271892843,0.616377634679438,0.596163805812991,0.578294768563744,0.589423953262638,0.578562743278117,0.47146844714337,0.42477861231811,0.364764910422498
FOSSIL FUEL INDUSTRY,Upstream Oil and Gas,"Oil, Natural Gas, and CO2 Transmission",1.47446650793334,1.81526373112575,1.76665865110312,1.86137466722913,2.00731302362307,2.14722083640576,2.26829509959311,2.28605816820906,2.23503622529295,2.05712923424779,2.14188941120734,2.29965582145211,1.74599936325618,1.40317783843657,1.42307378653833,1.38204559650371,1.05245676999707,1.208305323275,1.1350540975627,1.08685816541238,1.04183368172158,1.1058993931226,1.02791571789994,1.36000080892013,1.21134980022231,1.48351353531586,1.56578558774761,1.61012486300856,1.52178704858391,1.55259393268027,1.48895972765311,1.4819176061537
FOSSIL FUEL INDUSTRY,Downstream Oil and Gas,Petroleum Refining,1.31164903890533,1.28180742512772,1.08578960307608,0.757170100966818,0.745184118695485,0.601461569646452,0.77345699713437,0.476673514810771,0.447522327231412,0.505164270219286,0.453280599745117,0.480175779847032,0.554286076496752,0.534121575404031,0.901944108024758,0.533742982526503,0.668665513496964,0.679351035406274,0.516271455980101,0.626240113622488,0.714725188943371,0.627229330045354,0.636572051422852,0.534353544877981,0.578277195648041,0.604471140986944,0.700064489173088,0.581481009665965,0.483186991758777,0.518030413846072,0.432483666723851,0.494150510167461
FOSSIL FUEL INDUSTRY,Downstream Oil and Gas,Natural Gas Distribution,0.149894784369981,0.162046887444703,0.173527249415657,0.18165770740278,0.213486544095194,0.202607756208114,0.209726009271726,0.218370882075362,0.207077244190743,0.202815403649675,0.1665375232305,0.159189682771984,0.146698583275678,0.118414017476475,0.0940372284655115,0.0924076134147614,0.109013153373099,0.108399435627124,0.103710116147792,0.105254033832656,0.114531645640369,0.099475644944688,0.0884651927021269,0.111977129579414,0.09758340557312,0.102222150815101,0.104091656331415,0.10536638074901,0.105949878102299,0.107225449849295,0.106700532117345,0.107928239530663
ELECTRICITY,Electricity,NA,0.864234350856527,0.529772092442969,0.999207926526491,1.98197769197687,1.68354281584647,1.81165010443019,0.273199683685321,0.62128798778229,1.35986539274843,0.6920534018589,1.66410039617953,2.23765891138055,0.710357328050293,0.747519834552881,0.945804405691511,1.03175339763092,1.09697110899655,0.873350378762738,1.22747623091726,1.08038556385668,0.98245072490809,0.608334899325008,0.271213783641857,0.383417034497732,0.294025540238173,0.252270454347666,0.437585621668711,0.377081097074739,0.496935648262751,0.628588035324081,0.241257461300128,0.448673916475782
TRANSPORT,Passenger Transport,"Cars, Trucks, and Motorcycles",7.78408333117266,8.01600767112417,8.36462791091713,8.85373299524347,9.24641981171418,9.45941296211035,9.66349853666972,10.0505781548651,10.387705836176,10.1021239277754,10.1108102998134,9.9016936891286,9.88001626448328,9.97986039918591,10.5562046191013,9.94235608236586,9.79589250094919,9.78219605305414,9.65139250417795,9.75326706413192,9.41433003847631,8.74813005794353,8.96320284542704,9.2421399602227,9.47947079603546,9.81240808814644,10.562981361556,10.4816134020159,10.6532600351259,10.3423627248155,9.15755425260789,9.53067737753209
TRANSPORT,Passenger Transport,"Bus, Rail, and Domestic Aviation",1.45028905286241,1.30354464074565,1.32870411470334,1.24955716361329,1.33644700670738,1.49521695184473,1.67124602787327,1.73775354555339,1.77974530162545,1.90845361763889,1.84641729610455,1.74183928551041,1.67364612628445,1.77050185378263,1.88469930122094,1.86522282935634,1.84251767024062,1.88527819556788,1.8974642162607,1.7336883307317,1.57825239602556,1.48075334942312,1.66151571060181,1.74109559178757,1.69837595478393,1.70507522840413,1.77118883925337,1.88364460881133,2.0597815247857,2.04515081014372,1.23430205090595,1.40376724299278
TRANSPORT,Freight Transport,Heavy-Duty Trucks and Rail,4.22643660954501,4.10727323078898,4.0908208780291,4.03948183339131,4.19435077712284,4.43481701069154,4.68279416416218,4.78524330569728,4.51091930878307,4.8020782246798,4.49122587232002,4.55121360662505,4.38030995462598,5.02313395923375,5.31057027463621,5.32614837255843,5.54931554229761,6.13238886829434,6.63832000165714,6.31392803037473,6.32552006371882,6.1545127088649,6.45703531413779,6.89169489304383,6.73457797656516,6.29733925296042,6.2367297841587,6.37644383539964,6.73006444019502,6.95866071608123,6.64138517555882,6.94964571435798
